Type,First Name,Last Name,Company,Email,Phone,Phone 2,Fax,Address,Address 2,City,State,Zip,APN,Property Address,Property City,Property County,Property State,Property Zip,Property Size,Short Legal Description,Offer Amount,Market Value,Assessed Value,Repair Estimate,Back Taxes
,1998 ROBERT E BURTON FAMILY TRUST,,,,,,,105 POST OAK TRL,,ATHENS,GA,30606,249   021, BLUE RIDGE OVLK,DAWSONVILLE,Forsyth,GA,30534,31,14-1 591-592 ,,,423150,,
,2009 YOUNG FAMILY REVOC TRUST,,,,,,,7388 WINDY OAKS DR,,GAINESVILLE,GA,30506,289   090,7388 WINDY OAKS DR,GAINESVILLE,Forsyth,GA,30506,0.85,14-1 904 LT 9 ,,,30000,,1.95
,30 WEST INC,,,,,,,PO BOX 218,,CUMMING,GA,30028,125   131, GOLDMINE DR,CUMMING,Forsyth,GA,30040,0.74,3-1 1032-1033 LT68-B MNTSIDE ,,,30000,,272.44
,335 LLC,,,,,,,PO BOX 168,,ATHENS,GA,30603,220   193,2445 FLEETWOOD DR,CUMMING,Forsyth,GA,30041,0.77,14-1 147 LT 266-270 & 324 HC-SS,,,63000,,
,3M ACRES LLC,,,,,,,152 SANITA AVE,,LOS ANGELES,CA,90049,106   079, ATLANTA HWY,CUMMING,Forsyth,GA,30040,4.66,2-1 414 ,,,233000,,
,AAA PRESTIGE PROPERTIES LLC,,,,,,,7280 WINGFIELD WAY,,CUMMING,GA,30041,256   155,5310 LAKE POINTE CENTER DR,CUMMING,Forsyth,GA,30041,2,14-1 485-486 LT10 LAKE PO ,,,238500,,2219.42
,AAA SOLUTIONS INC,,,,,,,3011 WESTSIDE CT,,ALPHARETTA,GA,30009,021   025,375 TIDWELL DR,ALPHARETTA,Forsyth,GA,30004,1.92,2-1 969 ,,,268800,,3349.25
,AAP INVESTMENTS LLC,,,,,,,200 BUSINESS PARK DR,STE 206,ARMONK,NY,10504,C25   010, DAHLONEGA ST,CUMMING,Forsyth,GA,30040,0.73,3-1 1197 ,,,45000,,
,ABINGTON CARSON COURT LLC,,,,,,,95 GLENGARRY CHASE,,COVINGTON,GA,30014,071   116,7480 CARSON CT,CUMMING,Forsyth,GA,30028,0.58,3-1 420 LT 24 PH 1 TATUM RIDGE,,,60000,,
,ABNEY STEVEN F,,,,,,,6202 CREEKSTONE PATH,,CUMMING,GA,30041,096   079,3295 AINTREE CHSE,CUMMING,Forsyth,GA,30028,0.66,3-1 630 LT 21 UN2 AINTREE ,,,11000,,2.32
