Type,First Name,Last Name,Company,Email,Phone,Phone 2,Fax,Address,Address 2,City,State,Zip,APN,Property Address,Property City,Property County,Property State,Property Zip,Property Size,Short Legal Description,Offer Amount,Market Value,Assessed Value,Repair Estimate,Back Taxes
Company,,,1998 ROBERT E BURTON FAMILY TRUST,,,,,105 POST OAK TRL,,ATHENS,GA,30606,249   021, BLUE RIDGE OVLK,DAWSONVILLE,Forsyth,GA,30534,31,14-1 591-592 ,,,423150,,
Company,,,2009 YOUNG FAMILY REVOC TRUST,,,,,7388 WINDY OAKS DR,,GAINESVILLE,GA,30506,289   090,7388 WINDY OAKS DR,GAINESVILLE,Forsyth,GA,30506,0.85,14-1 904 LT 9 ,,,30000,,1.95
Company,,,30 WEST INC,,,,,PO BOX 218,,CUMMING,GA,30028,125   131, GOLDMINE DR,CUMMING,Forsyth,GA,30040,0.74,3-1 1032-1033 LT68-B MNTSIDE ,,,30000,,272.44
Company,,,335 LLC,,,,,PO BOX 168,,ATHENS,GA,30603,220   193,2445 FLEETWOOD DR,CUMMING,Forsyth,GA,30041,0.77,14-1 147 LT 266-270 & 324 HC-SS,,,63000,,
Company,,,3M ACRES LLC,,,,,152 SANITA AVE,,LOS ANGELES,CA,90049,106   079, ATLANTA HWY,CUMMING,Forsyth,GA,30040,4.66,2-1 414 ,,,233000,,
Company,,,AAA PRESTIGE PROPERTIES LLC,,,,,7280 WINGFIELD WAY,,CUMMING,GA,30041,256   155,5310 LAKE POINTE CENTER DR,CUMMING,Forsyth,GA,30041,2,14-1 485-486 LT10 LAKE PO ,,,238500,,2219.42
Company,,,AAA SOLUTIONS INC,,,,,3011 WESTSIDE CT,,ALPHARETTA,GA,30009,021   025,375 TIDWELL DR,ALPHARETTA,Forsyth,GA,30004,1.92,2-1 969 ,,,268800,,3349.25
Company,,,AAP INVESTMENTS LLC,,,,,200 BUSINESS PARK DR,STE 206,ARMONK,NY,10504,C25   010, DAHLONEGA ST,CUMMING,Forsyth,GA,30040,0.73,3-1 1197 ,,,45000,,
Company,,,ABINGTON CARSON COURT LLC,,,,,95 GLENGARRY CHASE,,COVINGTON,GA,30014,071   116,7480 CARSON CT,CUMMING,Forsyth,GA,30028,0.58,3-1 420 LT 24 PH 1 TATUM RIDGE,,,60000,,
Individual,STEVEN F,ABNEY,,,,,,6202 CREEKSTONE PATH,,CUMMING,GA,30041,096   079,3295 AINTREE CHSE,CUMMING,Forsyth,GA,30028,0.66,3-1 630 LT 21 UN2 AINTREE ,,,11000,,2.32
Individual,HANI,ABU-HASSAN,,,,,,PO BOX 5549,,ST MARYS,GA,31558,232   048, JOT EM DOWN RD,DAWSONVILLE,Forsyth,GA,30534,51.8,14-1 416-417 ,,,691530,,
Company,,,ACORN 61 OFFICE PARK REAL ESTATE LLC,,,,,4675,MACCARTHUR CT,NEWPORT BEACH,CA,92660,174   045, HAW CREEK CIR,CUMMING,Forsyth,GA,30041,4.65,2-1 355-366 ,,,596400,,7391.45
Individual,TRAVIS H,ACREE,,,,,,200 W OAK ST,,LUTHERSVILLE,GA,30251,313   545, NUGGETT TRL,GAINESVILLE,Forsyth,GA,30506,0.2,14-1 1277 LT 540-541 PEBB LEBROOK SHORE,,,25000,,
Company,,,ADS RENEWABLE ENERGY-EAGLE POINT LLC,,,,,90 FORT WADE RD,,PONTE VEDRA,FL,32081,001   012, OLD FEDERAL RD,BALL GROUND,Forsyth,GA,30107,8.6,3-1 148 TRACT 4 ,,,215000,,
Company,,,ADS RENEWABLE ENERGY-EAGLE POINT LLC,,,,,90 FORT WADE RD,,PONTE VEDRA,FL,32081,001   013, OLD FEDERAL RD,BALL GROUND,Forsyth,GA,30107,1.81,3-1 148    TRACT 5 ,,,45250,,
Company,,,ADVANTA IRA ADM LLC FBO,,,,,13191 STARKEY RD,STE 9,LARGO,FL,33773,100   454,2925 BROOKFIELD CIR,CUMMING,Forsyth,GA,30040,2.98,3-1 1064 TR B ,,,104300,,
Individual,GEVORK,AGASARKISIAN,,,,,,1265 SWIMS VALLEY DR NW,,ATLANTA,GA,30327,244   156,4750 FOWLER DR,CUMMING,Forsyth,GA,,3.78,14-1 382-455 J P FOWLER ,,,225100,,2810.04
Individual,MAURICIO,AGUILERA,,,,,,325 OLD LIBERTY RD,,ASHEBORO,NC,27203,131   024,1535 ATLANTA HWY,CUMMING,Forsyth,GA,30040,0.84,2-1 346 ,,,140530,,
Company,,,AHFC IV LLC,,,,,2100 POWERS FERRY RD NW,STE 300,ATLANTA,GA,30339,008   251,5510 STELLATA CIR,CUMMING,Forsyth,GA,30028,0.28,3-1 863-864 LT 44 PH 1 ,,,60000,,0.23
Company,,,AHFC IV LLC,,,,,2100 POWERS FERRY RD NW,STE 300,ATLANTA,GA,30339,008   252,6065 STELLATA CIR,CUMMING,Forsyth,GA,30028,0.25,3-1 863-864 LT 45 PH 1 ,,,60000,,0.29
Company,,,AHFC IV LLC,,,,,2100 POWERS FERRY RD NW,STE 300,ATLANTA,GA,30339,008   253,6055 STELLATA CIR,CUMMING,Forsyth,GA,30028,0.25,3-1 863-864 LT 46 PH 1 ,,,60000,,0.29
Company,,,AHFC IV LLC,,,,,2100 POWERS FERRY RD NW,STE 300,ATLANTA,GA,30339,008   263,5645 HAMMOCK WAY,CUMMING,Forsyth,GA,30028,0.24,3-1 863 LT 69 PH 1 ,,,60000,,0.29
Company,,,AHFC IV LLC,,,,,2100 POWERS FERRY RD NW,STE 300,ATLANTA,GA,30339,008   268,5620 HAMMOCK WAY,CUMMING,Forsyth,GA,30028,0.23,3-1 863 LT 74 PH 1 ,,,60000,,0.29
Company,,,AHFC IV LLC,,,,,2100 POWERS FERRY RD NW,STE 300,ATLANTA,GA,30339,008   270,5640 HAMMOCK WAY,CUMMING,Forsyth,GA,30028,0.23,3-1 863 LT 76 PH 1 ,,,60000,,0.29
Company,,,AHFC IV LLC,,,,,2100 POWERS FERRY RD NW,STE 300,ATLANTA,GA,30339,008   271,5650 HAMMOCK WAY,CUMMING,Forsyth,GA,30028,0.24,3-1 863 LT 77 PH 1 ,,,60000,,0.29
Company,,,AHFC IV LLC,,,,,2100 POWERS FERRY RD NW,STE 300,ATLANTA,GA,30339,008   272,5660 HAMMOCK WAY,CUMMING,Forsyth,GA,30028,0.24,3-1 863 LT 78 PH 1 ,,,60000,,0.29
Individual,FARAH,AKBAR,,,,,,240 EAGLES LANDING WAY,,MCDONOUGH,GA,30253,244   112T001,4915 SUNRISE LN,CUMMING,Forsyth,GA,30041,,MH ,,,13800,,
Individual,FAROOQ,AKBAR,,,,,,240 EAGLES LANDING WAY,,MCDONOUGH,GA,30253,244   112,4915 SUNRISE LN,CUMMING,Forsyth,GA,30041,0.33,14-1 380 LT 5 JG HOLTCLAW ,,,280870,,
Individual,KATHLEEN,ALEXANDER,,,,,,170 BEAR LN,,TEMPLE,GA,30179,293   180, LOY LN,GAINESVILLE,Forsyth,GA,30506,1.92,14-1 995-1042 ,,,48000,,
Individual,KWAME,ALEXANDER,,,,,,345 ROCKAWAY PKWY,,BROOKLYN,NY,11212,289   002, WITS END DR,GAINESVILLE,Forsyth,GA,30506,1.81,14-1 906 ,,,27150,,
Individual,C K,ALLEN,,,,,,8255 BETHEL RD,,GAINESVILLE,GA,30506,215   027, HOPEWELL RD,CUMMING,Forsyth,GA,30028,1.02,14-1 105 ,,,28460,,313.44
Individual,JOHN CHARLES,ALLEN,,,,,,104 TALL PINE RD,,SAINT SIMONS ISLAND,GA,31522,272   076, DRISKELL CIR,,Forsyth,GA,,0.33,14-1 640 LT 8 BL B DRISKE LL SHORES,,,254380,,
Company,,,AM CAPITAL LLC,,,,,675 SEMINOLE AVE,SUITE 301,ATLANTA,GA,30307,004   183, MATT HWY,BALL GROUND,Forsyth,GA,30107,2.26,3-1 358 OUTLOT PRESERVE @ ,,,50000,,525.71
Company,,,AMBRA LP,,,,,2747 ARBOR AVE,,ATLANTA,GA,30317,316   021, BULLOCK LN,GAINESVILLE,Forsyth,GA,30506,0.35,14-1 1218 LT12 BL B AMBRA COVE ,,,25000,,340.96
Company,,,AMOS JOHNNIE B LIVING TRUST,,,,,172 CHESTNUT CREEK LN,,MURPHY,NC,28906,029   097, SEWELL RD,CUMMING,Forsyth,GA,30028,40.01,3-1 713-714-727-728 ,,,684170,,
Company,,,AMPCEE LLC,,,,,4440 TWIN LAKES RD,,CUMMING,GA,30040,148   021, TWIN LAKES RD,CUMMING,Forsyth,GA,30040,3.93,3-1 747 ,,,83710,,858.82
Individual,AMIR,ANDELRAHMAN,,,,,,2705 OXMOOR GLEN DR,,BIRMINGHAM,AL,35211,012   233,4120 PLAZA DR,ALPHARETTA,Forsyth,GA,30004,1.13,3-1 1228 LT 40 CASTILLE ,,,80000,,
Individual,CHARLES LEWIS,ANDERSON,,,,,,3815 CASTLEBERRY RD,,CUMMING,GA,30040,129   027,3815 CASTLEBERRY RD,CUMMING,Forsyth,GA,30040,1,2-1 LL 160 ,,,65600,,109.38
